344	2.9574	1009
345	2.9553	962
346	3.0139	1007
347	2.9733	1013
340	3.0062	974
341	3.0081	992
342	3.0368	1006
343	3.0074	952
810	2.9961	1019
811	3.0349	945
812	3.0292	926
813	2.9443	988
348	3.0634	1009
349	2.9146	949
816	2.9746	944
817	2.9733	1010
595	2.9553	962
719	3.0336	1013
718	3.0279	931
717	2.9764	1018
716	2.9523	986
715	3.0640	984
714	2.9874	1035
713	2.9692	1008
712	3.0264	1022
711	3.0466	1008
710	2.9562	1050
915	2.9629	996
914	2.9969	980
606	3.0216	1018
917	2.8746	1005
594	3.0090	995
736	3.0099	1008
916	3.0149	1005
911	2.9324	962
619	3.0459	1003
910	2.9946	930
913	2.9948	961
298	2.9093	1047
299	2.9912	909
296	2.9826	1035
297	3.0134	969
294	3.0341	998
295	3.0685	1066
292	3.0377	1034
293	3.0584	942
290	2.9123	992
291	3.0147	954
591	3.0507	1006
590	2.9814	1019
593	2.9665	954
592	2.9971	1047
199	2.9800	998
198	3.0373	1018
597	3.0126	1031
596	2.9931	1012
195	2.9463	968
194	2.9453	1023
197	2.9666	1018
196	3.0051	986
191	3.0153	1049
190	3.0171	993
193	2.9675	1045
192	2.9345	962
270	3.0186	966
271	3.0107	1028
272	2.9990	984
273	3.0310	1032
274	3.0227	971
275	2.9838	927
276	2.9687	989
277	2.9990	1015
278	2.9193	979
279	2.8771	993
738	3.0365	960
524	2.9602	979
525	2.9697	991
526	3.0379	976
527	3.0361	996
520	3.0276	980
521	2.9493	1005
522	3.0222	991
523	3.0524	1050
599	2.9589	949
528	3.0374	988
529	3.0413	1017
994	2.9621	975
449	3.0100	1005
448	2.9283	990
443	2.9971	1023
442	2.9770	956
441	2.9511	941
440	3.0412	994
447	3.0722	1011
446	3.0618	971
445	2.9813	960
444	2.9882	1020
108	2.9837	1043
109	3.0444	990
102	3.0010	984
103	2.9619	1023
100	3.0403	993
101	2.9553	1029
106	2.9161	965
107	3.0977	1003
104	3.0021	958
105	3.0412	1020
902	2.9583	959
903	3.0561	1051
39	3.0366	1037
38	3.0364	989
906	2.9954	1078
907	3.0110	1004
904	3.0224	982
905	2.9969	974
33	3.0573	977
32	2.9950	1007
31	3.0081	989
30	3.0646	975
37	2.9980	993
36	3.0132	985
35	3.0214	934
34	2.9084	1015
641	2.9829	993
640	3.0246	976
643	2.9441	1056
642	2.9738	954
645	3.0619	1066
644	3.0638	988
438	3.0150	997
439	2.9931	1014
436	3.0484	1012
437	3.0273	988
434	2.9255	1033
435	2.9475	953
432	2.9659	998
433	2.9604	1009
430	3.0664	1069
431	2.9666	988
339	3.0763	1036
338	2.9809	994
335	3.0192	990
334	2.9853	1023
337	2.9751	963
336	3.0235	1020
331	3.0097	1031
330	3.0764	1008
333	3.0068	1028
332	2.9359	1061
89	2.9298	997
744	3.0313	990
745	3.0172	987
854	2.9950	1003
818	2.9159	1034
856	2.9737	1025
857	3.0595	975
850	2.9522	962
851	3.0653	1010
852	3.0239	1004
819	3.0455	1012
858	3.0491	1019
859	3.0444	1013
748	3.0611	998
6	3.0180	1000
900	3.0530	962
848	3.0040	1010
99	2.9421	1036
98	3.0233	1028
844	3.0342	1023
91	3.0000	991
90	2.9733	1047
93	2.9576	990
92	2.9726	1021
95	2.9883	1029
94	3.0820	988
97	2.9903	1028
96	3.0327	918
814	3.0311	1030
815	2.9896	965
740	3.1091	999
741	3.0262	991
742	3.0656	991
743	2.9837	1042
559	3.0370	945
558	3.0745	980
746	3.0137	1021
747	2.9666	959
555	3.0417	1031
554	2.9689	965
557	2.9581	979
556	2.9908	976
551	2.9737	988
550	3.0779	1065
553	2.9767	1030
552	2.9929	984
238	3.0128	1012
239	2.9260	1041
234	2.9850	997
235	3.0217	1012
236	3.1008	992
237	3.0296	1048
230	3.0120	996
231	3.0247	1011
232	3.0385	987
233	3.0376	985
992	3.0083	968
1	2.9489	1037
614	3.0639	1002
146	3.0275	982
147	2.9598	995
144	2.9336	949
145	3.0742	1064
142	3.0333	1051
143	3.0184	978
140	2.9902	1017
141	2.9430	983
612	3.0725	938
613	2.9990	1001
610	2.9328	953
611	2.9940	1005
616	3.0099	1012
617	2.8922	1020
148	3.0342	993
149	2.9254	1005
912	2.9837	981
951	3.0067	1049
948	3.0069	1016
949	3.1004	946
946	2.9970	1012
947	3.0120	997
944	2.8847	997
945	3.0030	990
942	3.0145	1033
943	3.0070	996
940	2.9961	1020
941	3.1050	1038
768	3.0771	1025
689	2.9144	993
688	2.9741	965
685	3.0163	981
684	2.9132	991
687	2.9547	994
516	2.9508	955
681	3.0601	1032
680	2.9756	1023
683	2.9744	978
682	3.0247	1011
623	2.8912	965
622	3.0157	1022
133	2.9450	1037
132	2.9060	1011
131	3.0215	975
130	3.0059	1023
137	3.0021	950
136	2.9761	963
135	2.9981	1026
134	3.0519	983
494	2.9594	1010
495	3.0441	974
139	3.0430	1001
138	3.0389	950
490	2.9301	930
491	3.0271	998
492	3.0599	969
493	2.9256	1008
24	3.0160	998
25	2.9751	1005
26	2.9817	981
27	3.0010	1006
20	2.9981	1061
21	2.9827	985
22	2.9340	940
23	3.0172	989
927	3.0315	984
28	3.0226	1017
29	3.0405	962
